Source,Target
48,1
899,1
10097,1
48,6
437,6
899,6
1973,6
2166,6
3035,6
4886,6
6756,6
7556,6
9161,6
9180,6
9789,6
9819,6
10097,6
10475,6
10637,6
11549,6
11674,6
11843,6
12373,6
13290,6
13447,6
5206,7
9234,7
11332,7
48,8
48,17
3259,17
10097,17
9,18
35,18
149,18
201,18
559,18
664,18
769,18
822,18
1156,18
1287,18
1404,18
1738,18
1973,18
2089,18
2221,18
2571,18
2687,18
2725,18
2788,18
3007,18
3110,18
3357,18
3703,18
3857,18
3932,18
4035,18
4286,18
4289,18
4400,18
4452,18
4785,18
4886,18
4900,18
5017,18
5147,18
5199,18
5352,18
5663,18
6312,18
6656,18
6838,18
7745,18
7882,18
8255,18
8977,18
9255,18
9337,18
9514,18
9853,18
10121,18
10199,18
10232,18
10514,18
10637,18
10722,18
11323,18
11328,18
11382,18
11416,18
11676,18
11705,18
12152,18
12172,18
12376,18
12701,18
13030,18
13163,18
13260,18
13414,18
13537,18
13947,18
14385,18
14427,18
14837,18
10097,20
1866,22
3259,22
4652,22
9009,22
9234,22
10097,22
13290,22
3685,23
9974,23
10097,25
9,27
201,27
461,27
584,27
668,27
680,27
766,27
899,27
1024,27
2098,27
2177,27
2571,27
2687,27
2788,27
2878,27
3007,27
3219,27
3380,27
3404,27
3671,27
3932,27
3945,27
3998,27
4035,27
4746,27
4927,27
4935,27
5017,27
5053,27
5663,27
5860,27
5881,27
6166,27
6306,27
6397,27
6640,27
6656,27
6755,27
6795,27
6858,27
7122,27
7204,27
7291,27
7769,27
7881,27
7978,27
8127,27
8293,27
8403,27
8458,27
8586,27
8739,27
8826,27
8952,27
9057,27
9239,27
9521,27
9621,27
10006,27
10199,27
10232,27
10439,27
10762,27
10775,27
10805,27
10864,27
11008,27
11397,27
11849,27
12152,27
12788,27
13817,27
14015,27
14385,27
14742,27
899,30
2994,30
6756,30
9789,30
13246,30
10,31
45,31
255,31
327,31
372,31
390,31
418,31
564,31
606,31
673,31
762,31
801,31
854,31
878,31
908,31
1031,31
1050,31
1077,31
1159,31
1212,31
1307,31
1427,31
1536,31
1699,31
1734,31
1959,31
2121,31
2196,31
2207,31
2214,31
2269,31
2297,31
2328,31
2360,31
2700,31
2779,31
2815,31
2881,31
2915,31
3306,31
3399,31
3661,31
3687,31
3699,31
3855,31
3932,31
4035,31
4112,31
4276,31
4286,31
4311,31
