Source,Target
199,2
100,2
1112,2
1432,2
2025,2
2244,2
3408,2
3436,2
3804,2
3843,2
4654,2
4956,2
5842,2
6113,2
6413,2
6712,2
6754,2
7242,2
8575,2
8946,2
8972,2
9225,2
9338,2
9400,2
9462,2
9603,2
10127,2
10147,2
10193,2
10670,2
10732,2
10900,2
11060,2
11363,2
11536,2
11698,2
11769,2
13510,2
14458,2
15222,2
15250,2
5459,3
18,4
27,4
52,4
65,4
141,4
145,4
208,4
305,4
449,4
505,4
516,4
524,4
555,4
648,4
686,4
703,4
737,4
852,4
923,4
1084,4
1087,4
1097,4
1118,4
1141,4
1317,4
1499,4
1513,4
1538,4
1545,4
1572,4
1580,4
1824,4
1830,4
1842,4
1881,4
1952,4
1962,4
1995,4
2004,4
2024,4
2025,4
2044,4
2050,4
2082,4
2090,4
2110,4
2143,4
2157,4
2359,4
2371,4
2373,4
2381,4
2405,4
2429,4
2511,4
2539,4
2568,4
2580,4
2581,4
2599,4
2609,4
2670,4
2794,4
2850,4
2859,4
3113,4
3177,4
3203,4
3217,4
3362,4
3434,4
3468,4
3471,4
3485,4
3603,4
3621,4
3650,4
3676,4
3895,4
3901,4
3960,4
3971,4
4002,4
4012,4
4047,4
4084,4
4142,4
4152,4
4186,4
4206,4
4228,4
4246,4
4308,4
4386,4
4417,4
4461,4
4512,4
4551,4
4626,4
4631,4
4654,4
4681,4
4728,4
4739,4
4755,4
4772,4
4842,4
5014,4
5027,4
5030,4
5040,4
5163,4
5223,4
5334,4
5340,4
5453,4
5654,4
5756,4
5806,4
5824,4
5897,4
5906,4
5980,4
6116,4
6128,4
6278,4
6284,4
6315,4
6328,4
6331,4
6347,4
6407,4
6510,4
6551,4
6602,4
6641,4
6754,4
6782,4
6791,4
6815,4
6821,4
6854,4
6874,4
6876,4
6965,4
6966,4
6984,4
6986,4
6992,4
7078,4
7346,4
7447,4
7675,4
7733,4
7737,4
7743,4
7784,4
7791,4
7845,4
7853,4
7889,4
7917,4
7925,4
7958,4
7976,4
7995,4
8012,4
8022,4
8039,4
8133,4
8200,4
8201,4
8299,4
8338,4
8347,4
8405,4
8435,4
8468,4
8569,4
8573,4
8582,4
8588,4
8592,4
8717,4
8728,4
8777,4
8791,4
8834,4
8857,4
8862,4
8935,4
8938,4
9024,4
9025,4
9170,4
9289,4
9319,4
9350,4
9382,4
9394,4
9395,4
9496,4
9593,4
9642,4
9775,4
9796,4
9877,4
9886,4
9890,4
9903,4
9908,4
9949,4
9978,4
9995,4
10080,4
10118,4
10188,4
10195,4
10210,4
10240,4
10257,4
10276,4
10304,4
10310,4
10311,4
10414,4
10535,4
10555,4
10571,4
10584,4
10623,4
10641,4
10646,4
10652,4
10707,4
10740,4
10921,4
10935,4
10979,4
11035,4
11090,4
11110,4
11141,4
11156,4
11170,4
11193,4
11197,4
11247,4
11284,4
11338,4
11354,4
11369,4
11391,4
11426,4
11440,4
11568,4
11601,4
11633,4
11776,4
