Source,Target
410,2
621,2
664,2
1375,2
1764,2
1813,2
2745,2
2799,2
3064,2
3180,2
3333,2
3644,2
4049,2
4544,2
4983,2
5015,2
5881,2
5939,2
7064,2
7602,2
8178,2
8513,2
8858,2
8952,2
9768,2
9926,2
9950,2
9999,2
10199,2
10341,2
10620,2
10776,2
11705,2
11818,2
12158,2
12172,2
12479,2
13369,2
13620,2
13757,2
14332,2
14538,2
14676,2
15245,2
14,4
36,4
72,4
95,4
108,4
209,4
225,4
243,4
270,4
272,4
314,4
321,4
345,4
356,4
393,4
526,4
564,4
568,4
577,4
697,4
728,4
766,4
864,4
920,4
977,4
990,4
996,4
1043,4
1078,4
1083,4
1198,4
1289,4
1307,4
1330,4
1375,4
1409,4
1435,4
1529,4
1644,4
1658,4
1928,4
1936,4
1951,4
1975,4
2057,4
2089,4
2098,4
2289,4
2451,4
2498,4
2534,4
2601,4
2678,4
2680,4
2718,4
2725,4
2745,4
2782,4
2785,4
2908,4
2979,4
3010,4
3032,4
3085,4
3179,4
3205,4
3212,4
3294,4
3306,4
3354,4
3387,4
3404,4
3440,4
3533,4
3569,4
3577,4
3633,4
3652,4
3661,4
3667,4
3680,4
3765,4
3855,4
3958,4
3986,4
4037,4
4048,4
4073,4
4086,4
4087,4
4161,4
4169,4
4222,4
4251,4
4356,4
4400,4
4473,4
4507,4
4628,4
4744,4
4778,4
4810,4
4814,4
4853,4
4948,4
5110,4
5157,4
5202,4
5244,4
5294,4
5341,4
5352,4
5402,4
5449,4
5487,4
5515,4
5563,4
5650,4
5663,4
5854,4
5860,4
5882,4
5943,4
6051,4
6074,4
6093,4
6226,4
6231,4
6397,4
6403,4
6420,4
6429,4
6494,4
6558,4
6570,4
6595,4
6648,4
6702,4
6733,4
6744,4
6745,4
6881,4
6901,4
6941,4
6961,4
7000,4
7141,4
7189,4
7252,4
7271,4
7306,4
7335,4
7398,4
7510,4
7521,4
7559,4
7598,4
7644,4
7672,4
7717,4
7746,4
7769,4
7859,4
7881,4
7887,4
7891,4
8097,4
8168,4
8214,4
8297,4
8308,4
8372,4
8401,4
8535,4
8637,4
8739,4
8767,4
8793,4
8827,4
8861,4
8965,4
9035,4
9090,4
9096,4
9100,4
9115,4
9171,4
9188,4
9199,4
9227,4
9231,4
9239,4
9295,4
9318,4
9358,4
9550,4
9602,4
9650,4
9665,4
9673,4
9738,4
9747,4
9800,4
9819,4
9883,4
9926,4
9944,4
10034,4
10063,4
10075,4
10105,4
10133,4
10278,4
10295,4
10350,4
10397,4
10437,4
10475,4
10479,4
10485,4
10560,4
10580,4
10672,4
10685,4
10778,4
10841,4
10940,4
11059,4
11068,4
11151,4
11186,4
11191,4
11262,4
11300,4
11305,4
11368,4
11392,4
11397,4
11405,4
11416,4
11441,4
11446,4
11461,4
11466,4
11475,4
11609,4
11719,4
11733,4
11753,4
11766,4
11770,4
11773,4
11808,4
11811,4
11816,4
11867,4
11921,4
11931,4
11968,4
12040,4
12053,4
12116,4
12140,4
12144,4
12185,4
12249,4
12261,4
12266,4
12302,4
12321,4
12516,4
12625,4
12641,4
12714,4
12732,4
12788,4
12798,4
12815,4
12863,4
12993,4
13028,4
13060,4
13079,4
13102,4
13103,4
13132,4
13142,4
13350,4
13371,4
13394,4
13398,4
13453,4
13531,4
13537,4
13540,4
13585,4
13598,4
13606,4
13621,4
13668,4
13763,4
13809,4
13842,4
13860,4
13939,4
13947,4
13979,4
14014,4
14015,4
14151,4
14208,4
14322,4
14369,4
14414,4
14466,4
14513,4
14646,4
14649,4
14661,4
14718,4
14741,4
14766,4
14862,4
14934,4
14942,4
14946,4
14966,4
14967,4
15000,4
15035,4
15043,4
15177,4
789,9
1813,9
2166,9
2974,9
2994,9
3860,9
4785,9
6166,9
6756,9
8097,9
8737,9
9337,9
9789,9
10952,9
12641,9
13369,9
13672,9
14427,9
32,10
389,10
437,10
705,10
740,10
789,10
828,10
1057,10
1287,10
1535,10
2216,10
2278,10
2289,10
2424,10
2485,10
2737,10
2994,10
3032,10
3206,10
3281,10
3703,10
3933,10
3998,10
4222,10
4613,10
5128,10
5147,10
5337,10
5385,10
5402,10
6166,10
6344,10
6756,10
6802,10
6941,10
7273,10
7602,10
7881,10
8113,10
8535,10
8850,10
9161,10
9169,10
9180,10
9330,10
9337,10
9725,10
9789,10
9813,10
9819,10
9931,10
10403,10
10475,10
10637,10
11121,10
11191,10
11701,10
11770,10
11814,10
12580,10
13539,10
13787,10
13812,10
15107,10
11674,11
48,12
8748,12
9608,12
10097,12
12480,12
13094,12
3259,13
6756,13
10097,13
11674,13
11843,13
13290,13
4,14
201,14
216,14
356,14
389,14
559,14
584,14
619,14
789,14
822,14
830,14
856,14
1068,14
1156,14
1404,14
1813,14
2166,14
2196,14
2289,14
2309,14
2538,14
2843,14
3007,14
3081,14
3206,14
3609,14
3860,14
3998,14
4362,14
4452,14
4785,14
4900,14
4935,14
4983,14
5053,14
5122,14
5147,14
5294,14
6166,14
6380,14
6756,14
7549,14
7602,14
7745,14
7859,14
7945,14
8255,14
8456,14
8605,14
8799,14
8952,14
9169,14
9196,14
9514,14
9789,14
10199,14
10471,14
10501,14
10514,14
10797,14
10912,14
10926,14
10952,14
11328,14
11416,14
11459,14
11572,14
11751,14
11764,14
11806,14
12172,14
12365,14
12405,14
12437,14
12792,14
12874,14
12891,14
13066,14
13219,14
13369,14
13457,14
13672,14
14003,14
14015,14
14332,14
14427,14
14589,14
14837,14
15107,14
15245,14
2894,15
5813,15
8748,15
10097,15
899,16
1404,16
1813,16
3860,16
4785,16
6166,16
6756,16
9789,16
48,19
10097,19
11843,19
48,21
899,21
1813,21
2411,21
5680,21
6400,21
6756,21
8084,21
9789,21
9976,21
10097,21
11674,21
12285,21
12563,21
12699,21
13119,21
451,24
912,24
1577,24
2256,24
3806,24
4004,24
6306,24
6668,24
6838,24
7290,24
9009,24
9295,24
10497,24
10775,24
11030,24
12365,24
12712,24
13172,24
14088,24
14354,24
15082,24
1592,26
2468,26
3027,26
7464,26
9813,26
10288,26
6756,28
10097,28
2872,29
10097,29
10,32
169,32
584,32
908,32
1479,32
1581,32
1726,32
1759,32
1764,32
1792,32
1873,32
2108,32
2231,32
2299,32
2364,32
2745,32
2755,32
2866,32
3281,32
3498,32
3932,32
4060,32
4324,32
4339,32
4634,32
4651,32
4744,32
4833,32
4948,32
5015,32
5468,32
6298,32
6375,32
6380,32
6515,32
6656,32
6804,32
6921,32
7271,32
7536,32
7610,32
7620,32
8105,32
8406,32
8622,32
8737,32
8742,32
8769,32
9257,32
9514,32
9545,32
9713,32
9976,32
9999,32
10199,32
10254,32
10514,32
10776,32
11202,32
11459,32
11743,32
12201,32
12429,32
12792,32
12815,32
12886,32
13060,32
13163,32
13205,32
13208,32
13304,32
13338,32
13369,32
13453,32
13803,32
13990,32
13997,32
14259,32
14370,32
14674,32
14704,32
14870,32
14930,32
15132,32
15141,32
15177,32
201,35
389,35
520,35
559,35
621,35
822,35
1057,35
1156,35
1173,35
1226,35
1287,35
1535,35
1813,35
2571,35
2669,35
2782,35
2890,35
3007,35
3206,35
3665,35
3703,35
3739,35
3857,35
3931,35
3932,35
4035,35
4289,35
4900,35
5017,35
