Source,Target
6781,1
3784,5
9220,5
12940,5
65,6
2463,6
2972,6
2983,6
5261,6
5268,6
5459,6
6781,6
7096,6
10027,6
10147,6
10486,6
10941,6
11492,6
11698,6
11858,6
12042,6
12672,6
13333,6
14087,6
14257,6
14707,6
2764,7
2972,7
5268,7
6636,7
7096,7
9843,7
10306,7
12839,7
13333,7
5268,8
6781,8
9421,8
14058,8
6781,17
9421,17
11492,17
11858,17
14058,17
31,18
100,18
141,18
573,18
657,18
686,18
1008,18
1779,18
1916,18
2440,18
2606,18
2674,18
2998,18
3362,18
3405,18
3682,18
3802,18
4495,18
4520,18
4596,18
4759,18
5028,18
5099,18
5196,18
5452,18
5617,18
5795,18
5824,18
5842,18
6315,18
6345,18
6712,18
6821,18
7048,18
7279,18
7337,18
7794,18
7962,18
8098,18
8118,18
8335,18
8478,18
9202,18
9465,18
9894,18
10144,18
10707,18
10732,18
10828,18
11060,18
11331,18
11492,18
11630,18
12042,18
12447,18
12500,18
12956,18
13111,18
13405,18
13479,18
13823,18
13942,18
14001,18
14087,18
14257,18
14338,18
14853,18
15054,18
15201,18
7096,20
13333,20
163,22
2972,22
7541,22
9049,22
9465,22
11492,22
11858,22
13333,22
14434,22
14707,22
3437,23
2972,25
6781,25
509,27
737,27
1008,27
1568,27
1678,27
1683,27
1842,27
2058,27
2073,27
2440,27
2609,27
3224,27
3603,27
3643,27
3914,27
4279,27
4515,27
5021,27
5318,27
5415,27
5459,27
6179,27
6346,27
6752,27
6791,27
6864,27
6949,27
7111,27
7182,27
7379,27
8039,27
8049,27
8473,27
8561,27
8903,27
9023,27
9120,27
9496,27
9527,27
9593,27
9605,27
9832,27
9894,27
9895,27
9969,27
10066,27
10162,27
10270,27
10500,27
11156,27
11369,27
11519,27
11669,27
11682,27
11738,27
11859,27
11973,27
12237,27
12500,27
12636,27
12746,27
12827,27
12956,27
13013,27
13355,27
13437,27
13560,27
13906,27
13931,27
13986,27
14087,27
14579,27
14699,27
14772,27
14945,27
15126,27
15201,27
1671,30
13437,30
18,31
39,31
288,31
343,31
377,31
433,31
574,31
624,31
960,31
1085,31
1116,31
1161,31
1168,31
1449,31
1460,31
1832,31
1916,31
1988,31
2040,31
2125,31
2152,31
2219,31
2233,31
2274,31
2429,31
2648,31
2723,31
2729,31
2838,31
2849,31
2873,31
2957,31
2996,31
3112,31
3127,31
3145,31
3288,31
3340,31
3375,31
3426,31
3437,31
3591,31
3592,31
3650,31
3676,31
3705,31
3717,31
3802,31
4012,31
4099,31
4205,31
4206,31
4226,31
4232,31
4354,31
4410,31
4461,31
4512,31
4547,31
4596,31
4612,31
4724,31
4759,31
4899,31
5099,31
5196,31
5334,31
5441,31
5452,31
5562,31
5617,31
5772,31
5797,31
5906,31
5911,31
5922,31
5970,31
6007,31
6116,31
6251,31
6295,31
6305,31
6401,31
6489,31
6560,31
6586,31
6592,31
6596,31
6606,31
6821,31
6869,31
7021,31
7048,31
7265,31
7346,31
7503,31
7784,31
7790,31
7904,31
7921,31
7950,31
7969,31
8012,31
8118,31
8174,31
8232,31
8265,31
8335,31
8338,31
8341,31
8368,31
8609,31
8821,31
8933,31
8946,31
8972,31
9020,31
9044,31
9114,31
9118,31
9237,31
9266,31
9462,31
9691,31
9697,31
9796,31
9806,31
9823,31
9868,31
9921,31
10225,31
10251,31
10257,31
10375,31
10791,31
11027,31
11114,31
11117,31
11304,31
11338,31
11341,31
11445,31
11596,31
11707,31
11769,31
11787,31
11854,31
12138,31
12439,31
12446,31
12549,31
12575,31
12589,31
12654,31
12660,31
12675,31
12713,31
12738,31
12911,31
13100,31
13125,31
13146,31
13210,31
13266,31
13296,31
13479,31
13510,31
13522,31
13678,31
13841,31
13931,31
14128,31
14155,31
14178,31
14334,31
14471,31
14543,31
14547,31
14711,31
14877,31
14920,31
15201,31
15202,31
2735,34
2927,34
2972,34
4854,34
5261,34
5268,34
5954,34
6183,34
6636,34
6781,34
6792,34
7096,34
7162,34
7259,34
8135,34
9125,34
10419,34
11429,34
11492,34
11858,34
12057,34
12672,34
13333,34
2744,39
4596,39
4951,39
6055,39
6746,39
7283,39
7399,39
8135,39
8898,39
11642,39
12536,39
7096,40
11858,40
1402,43
1636,43
1860,43
2128,43
2706,43
4635,43
4783,43
5058,43
5639,43
5743,43
6183,43
7970,43
8562,43
8631,43
9123,43
10772,43
11992,43
13251,43
13294,43
13437,43
14593,43
2814,46
4653,46
4727,46
5029,46
5459,46
6749,46
6864,46
7318,46
7554,46
10575,46
11444,46
11642,46
3648,47
4854,47
5459,47
6864,47
7623,49
8575,49
12259,49
100,50
347,50
1027,50
1580,50
1881,50
1940,50
2219,50
2440,50
2857,50
3393,50
3583,50
3762,50
3901,50
4427,50
4520,50
4612,50
4727,50
4759,50
4772,50
4899,50
5027,50
5099,50
5318,50
5782,50
6014,50
6278,50
6321,50
6345,50
6712,50
6754,50
6864,50
6959,50
7242,50
7337,50
7447,50
7503,50
7904,50
8177,50
8265,50
8338,50
8405,50
8495,50
8534,50
8561,50
8728,50
8823,50
8938,50
9280,50
9298,50
9332,50
9462,50
9894,50
10066,50
10115,50
10181,50
10193,50
11536,50
11669,50
12330,50
12476,50
12520,50
12969,50
13054,50
13236,50
13263,50
13273,50
13856,50
13942,50
14114,50
14121,50
14182,50
14562,50
14815,50
14962,50
15201,50
737,52
1161,52
1580,52
1678,52
1779,52
2050,52
2768,52
3621,52
3802,52
4759,52
5196,52
5671,52
