Source,Target
19399,5
20137,5
22113,5
22949,5
3402,8
5297,8
9638,8
20542,8
21359,8
22819,8
5,9
16028,9
19399,9
22113,9
164,13
13240,13
16561,13
19399,13
16561,21
19399,21
22113,21
19399,23
5965,38
8922,38
19399,40
22113,40
10181,54
16415,54
21947,54
1894,61
1953,61
5438,61
6417,61
9359,61
16521,61
16561,61
17729,61
19399,61
21429,61
22113,61
12952,65
16561,65
2383,74
13952,76
19399,76
20750,76
22113,76
22630,76
164,77
9257,77
19399,77
662,78
994,78
2037,78
5297,78
5965,78
6997,78
7008,78
7079,78
7264,78
8346,78
9715,78
9871,78
10154,78
11259,78
11658,78
15594,78
16649,78
16666,78
17086,78
17590,78
18599,78
18714,78
20326,78
20342,78
20352,78
21885,78
22113,78
22454,78
19686,83
164,84
10181,84
16561,84
22113,84
606,87
6368,87
19303,87
19881,87
23635,87
10181,101
191,109
899,109
2090,109
2782,109
3086,109
3793,109
4814,109
5538,109
5657,109
6653,109
7533,109
7624,109
7908,109
8243,109
9993,109
10618,109
10692,109
11333,109
11676,109
12615,109
12831,109
13044,109
13205,109
13871,109
14913,109
15168,109
16207,109
17196,109
18175,109
18376,109
18695,109
18754,109
19695,109
20151,109
22630,109
22709,109
1509,110
2037,110
7264,110
9351,110
10154,110
14237,110
15594,110
17568,110
19379,110
19881,110
20481,110
21885,110
23298,110
9306,111
13218,111
15556,111
20326,111
23449,111
5,128
19399,128
22113,128
16019,129
22949,129
5,130
1702,130
10181,130
17655,130
19399,135
13952,158
16561,158
19399,158
22113,158
164,162
10181,162
16561,162
19399,162
22113,162
13,164
77,164
84,164
162,164
247,164
260,164
348,164
552,164
707,164
842,164
892,164
952,164
1013,164
1062,164
1127,164
1227,164
1401,164
1423,164
1509,164
1548,164
1610,164
1757,164
2037,164
2052,164
2172,164
2392,164
2896,164
2917,164
3074,164
3103,164
3170,164
3244,164
3382,164
3486,164
3496,164
3670,164
3709,164
3768,164
3789,164
3802,164
3822,164
3856,164
4230,164
4320,164
4386,164
4435,164
4514,164
4816,164
4877,164
5115,164
5252,164
5279,164
5285,164
5429,164
5438,164
5439,164
5615,164
5668,164
5697,164
5716,164
5965,164
6148,164
6236,164
6507,164
6559,164
6657,164
6699,164
6726,164
6880,164
6907,164
6997,164
7154,164
7218,164
7542,164
7561,164
7842,164
7930,164
7947,164
7975,164
8227,164
8277,164
8346,164
8399,164
8486,164
8526,164
8551,164
8881,164
8918,164
8933,164
8997,164
9114,164
9148,164
9173,164
9291,164
9555,164
9626,164
9715,164
9742,164
9859,164
9924,164
9932,164
9994,164
10102,164
10113,164
10147,164
10250,164
10290,164
10314,164
10415,164
10475,164
10518,164
10549,164
10726,164
10742,164
10797,164
10894,164
11055,164
11091,164
11211,164
11221,164
11471,164
11472,164
