Source,Target
2770,5
4722,5
5219,5
5366,5
5742,5
8114,5
8299,5
10974,5
11222,5
15442,5
16027,5
17247,5
19991,5
23769,5
356,8
1798,8
2008,8
2285,8
5829,8
5938,8
7824,8
12720,8
13027,8
15358,8
15637,8
16390,8
23204,8
23630,8
2912,9
5219,9
8114,9
11370,9
16027,9
16629,9
17247,9
19991,9
4773,13
5537,13
5742,13
7698,13
7759,13
8114,13
10156,13
10974,13
11222,13
15477,13
16027,13
16629,13
17247,13
18648,13
19174,13
19991,13
20264,13
20332,13
8114,21
11222,21
16027,21
19991,21
23687,21
8114,23
11222,23
16629,23
2047,38
2405,38
4203,38
4611,38
4722,38
5219,38
7434,38
7496,38
7759,38
8114,38
8299,38
8398,38
10974,38
11222,38
13533,38
14596,38
15918,38
16382,38
16629,38
17247,38
18432,38
20332,38
21508,38
22468,38
22641,38
22730,38
154,40
2770,40
5219,40
8114,40
8893,40
13194,40
16027,40
17247,40
22721,40
3917,54
6303,54
7759,54
10721,54
13194,54
14894,54
15442,54
16293,54
17114,54
17453,54
18581,54
19577,54
19882,54
19983,54
20264,54
20862,54
22828,54
21491,58
221,61
612,61
1359,61
1437,61
1683,61
2178,61
2694,61
3016,61
7390,61
8114,61
9806,61
10947,61
12850,61
14066,61
15118,61
17431,61
19789,61
19991,61
21195,61
21689,61
23687,61
353,65
10156,65
11671,71
1396,74
4790,74
7022,74
9083,74
15299,74
22937,74
1437,76
1683,76
1761,76
4338,76
8435,76
10156,76
10301,76
16027,76
16629,76
19991,76
22100,76
23559,76
154,77
306,77
1746,77
3365,77
4327,77
4722,77
5341,77
5742,77
6022,77
7303,77
7698,77
7759,77
8893,77
9123,77
10123,77
10156,77
10235,77
11222,77
14927,77
15009,77
15073,77
15477,77
16027,77
16293,77
17184,77
17352,77
17570,77
18655,77
18702,77
19577,77
20213,77
20711,77
20863,77
22730,77
22828,77
112,78
169,78
209,78
268,78
336,78
339,78
529,78
855,78
997,78
1040,78
1153,78
1309,78
1808,78
1861,78
1886,78
2087,78
2168,78
2227,78
2402,78
2449,78
2462,78
2488,78
2582,78
2592,78
2842,78
3545,78
3773,78
3910,78
4107,78
4540,78
4771,78
4905,78
5485,78
5573,78
5986,78
6159,78
6192,78
6240,78
6491,78
6587,78
6613,78
6841,78
7127,78
7174,78
7337,78
7383,78
7571,78
7634,78
7899,78
8007,78
8184,78
8444,78
8591,78
8845,78
8963,78
9123,78
9414,78
9474,78
9625,78
9660,78
11121,78
11214,78
11654,78
11740,78
11836,78
11904,78
12069,78
12290,78
12364,78
12791,78
12838,78
12864,78
13201,78
13537,78
13589,78
13862,78
14088,78
14159,78
14319,78
14386,78
14583,78
14831,78
15076,78
15272,78
15867,78
16014,78
16087,78
16103,78
16480,78
16574,78
16679,78
16697,78
17132,78
17389,78
17521,78
17537,78
17597,78
17624,78
18160,78
18212,78
18587,78
18787,78
19012,78
19093,78
19494,78
19740,78
20181,78
20278,78
20390,78
20503,78
20598,78
20793,78
20938,78
20952,78
20981,78
21308,78
21333,78
21526,78
21701,78
22135,78
22298,78
22671,78
22771,78
22805,78
22854,78
22940,78
23236,78
23469,78
23495,78
23539,78
23666,78
23818,78
23847,78
612,83
1664,83
1683,83
3283,83
5394,83
9806,83
10273,83
16111,83
17486,83
19765,83
19991,83
21910,83
22100,83
23559,83
2770,84
4722,84
5014,84
7759,84
9754,84
10943,84
10974,84
11222,84
13892,84
14060,84
15009,84
16293,84
16629,84
19991,84
20332,84
6195,87
8454,87
8780,87
19868,87
20497,87
20886,87
8776,94
7759,101
8114,101
16027,101
19373,101
148,109
259,109
765,109
767,109
857,109
982,109
1377,109
1479,109
1520,109
1597,109
1658,109
1823,109
1994,109
2030,109
2591,109
2856,109
3019,109
3188,109
3311,109
3783,109
3918,109
3993,109
4039,109
4233,109
4397,109
4689,109
4994,109
5878,109
5943,109
6038,109
6510,109
6558,109
6606,109
6697,109
6752,109
6758,109
6976,109
6983,109
7358,109
7513,109
8263,109
8270,109
8290,109
8386,109
8397,109
8435,109
8461,109
8509,109
8585,109
8611,109
8705,109
8765,109
8914,109
9094,109
9115,109
9595,109
9980,109
